Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
4121;Min;-2.8;-0.4;1.8;4.0;7.2;12.2;16.6;16.0;12.9;7.8;2.0;-1.1;7.8
4121;Q1;-1.4;0.9;4.1;5.8;9.8;15.0;17.9;18.0;13.4;8.6;3.5;1.2;8.6
4121;Q2;0.6;2.0;4.7;6.8;10.7;15.6;18.4;18.3;14.7;9.5;4.4;1.9;9.3
4121;Q3;1.8;2.9;5.2;7.4;11.3;16.2;19.1;19.1;15.5;10.6;5.4;2.7;9.6
4121;Q4;3.2;3.8;5.8;8.1;12.2;17.1;20.1;19.5;15.7;11.3;7.2;4.4;10.2
4121;Max;5.2;5.8;8.2;9.3;13.9;19.0;21.4;20.2;16.6;12.6;8.2;6.8;10.6
4121;Mn;1.5;2.5;4.9;7.0;11.2;16.1;18.7;18.5;15.3;10.0;4.9;2.2;9.5
4121;Md;1.1;2.4;4.9;7.1;10.9;15.9;18.9;18.6;14.8;10.0;5.1;2.5;9.4
4121;S;2.20;1.51;1.20;1.23;1.51;1.48;1.17;1.01;1.13;1.34;1.76;1.89;0.74
4121;Cv;1.96;0.63;0.25;0.17;0.14;0.09;0.06;0.05;0.08;0.13;0.34;0.75;0.08
5402;N;25;25;26;26;26;26;25;26;26;26;24;24;21
5402;Min;-0.9;1.0;5.2;6.0;9.3;13.9;17.4;17.5;14.5;10.2;5.1;1.4;9.7
5402;Q1;1.7;3.7;6.3;8.3;11.9;15.6;18.2;18.5;15.5;11.5;5.9;3.6;10.6
5402;Q2;2.8;4.4;7.2;8.8;12.4;16.1;18.7;19.3;16.7;13.0;6.9;4.5;11.1
5402;Q3;4.3;5.6;7.9;9.5;12.8;16.7;19.2;19.4;17.5;13.4;7.7;5.8;11.5
5402;Q4;6.0;6.6;8.3;10.5;13.7;17.7;19.5;20.4;17.9;14.5;9.5;8.0;12.0
5402;Max;8.3;8.1;10.4;12.1;14.4;18.7;20.5;21.2;18.9;15.4;11.3;9.9;12.5
5402;Mn;3.3;4.8;7.6;9.4;12.6;16.4;18.8;19.4;17.1;13.2;7.5;5.2;11.3
5402;Md;3.6;4.9;7.4;9.3;12.6;16.5;18.9;19.4;16.9;13.0;7.7;5.5;11.3
5402;S;2.44;1.90;1.14;1.42;1.15;1.08;0.80;0.95;1.24;1.43;1.84;2.36;0.73
5402;Cv;0.67;0.39;0.15;0.15;0.09;0.07;0.04;0.05;0.07;0.11;0.24;0.43;0.06
8096;N;30;30;30;30;29;30;30;30;30;30;30;30;29
8096;Min;-3.7;-2.7;-0.3;2.0;4.7;9.0;13.0;13.0;9.3;5.6;0.2;-3.9;5.6
8096;Q1;-2.8;-1.5;1.3;3.3;7.0;11.9;14.6;14.4;10.3;6.1;1.6;-0.6;6.2
8096;Q2;-1.0;-0.1;2.3;4.2;7.8;12.7;15.5;15.2;11.7;7.3;2.5;0.1;6.7
8096;Q3;-0.1;0.6;2.8;4.8;8.5;13.0;16.0;16.0;12.7;8.2;3.2;1.1;7.2
8096;Q4;1.6;1.8;3.6;5.7;9.2;14.0;16.8;16.8;13.1;9.0;4.9;1.8;7.4
8096;Max;3.0;3.7;6.3;6.9;10.3;15.9;18.1;18.1;13.8;11.0;7.0;5.0;8.0
8096;Mn;-0.5;0.4;2.6;4.5;8.1;12.9;15.8;15.7;12.4;7.6;2.7;0.6;6.9
8096;Md;-0.5;0.2;2.5;4.5;8.1;12.8;15.7;15.6;11.9;7.7;3.2;0.7;6.8
8096;S;1.96;1.61;1.32;1.18;1.44;1.44;1.26;1.21;1.37;1.41;1.82;1.91;0.66
8096;Cv;-4.21;7.77;0.53;0.26;0.18;0.11;0.08;0.08;0.12;0.18;0.57;2.84;0.10
1014;N;30;30;30;29;30;30;30;30;30;30;30;30;29
1014;Min;1.1;2.5;4.2;5.5;8.7;12.8;14.9;15.4;12.7;9.6;5.0;1.8;9.2
1014;Q1;3.1;3.4;6.0;7.7;10.9;13.7;15.9;16.5;13.7;10.7;6.4;4.1;10.0
1014;Q2;4.4;4.5;6.4;8.4;11.3;14.5;16.7;16.9;14.4;11.4;7.2;5.1;10.4
1014;Q3;5.3;5.5;7.2;8.7;12.4;14.9;17.2;17.3;15.1;12.0;8.1;6.1;10.7
1014;Q4;5.8;6.3;8.4;9.4;12.8;15.6;17.8;18.0;16.0;13.1;9.5;6.9;11.0
1014;Max;7.5;8.4;10.4;10.8;13.2;18.0;19.9;20.2;16.8;15.1;10.2;9.3;11.5
1014;Mn;4.8;4.9;6.8;8.6;12.0;14.7;17.0;17.1;14.6;11.6;7.8;5.9;10.5
1014;Md;4.7;5.0;7.0;8.5;11.8;14.8;16.9;17.2;14.7;11.8;7.8;5.6;10.5
1014;S;1.67;1.53;1.37;1.06;1.10;1.12;1.12;1.07;1.09;1.33;1.55;1.80;0.54
1014;Cv;0.36;0.31;0.20;0.13;0.09;0.08;0.07;0.06;0.07;0.11;0.20;0.32;0.05
1024E;N;30;30;30;30;30;30;30;30;30;30;30;30;30
1024E;Min;1.1;2.9;4.3;4.4;7.7;11.9;13.7;14.5;13.0;9.6;5.3;3.1;9.6
1024E;Q1;4.6;4.2;6.3;7.4;9.8;12.8;15.2;15.7;13.7;11.1;7.3;5.6;10.0
1024E;Q2;5.5;5.0;6.6;7.8;10.9;13.5;15.6;16.3;14.3;11.8;8.0;6.2;10.5
1024E;Q3;6.4;6.2;7.5;8.2;11.4;13.8;16.1;16.7;15.1;12.8;9.3;6.8;10.7
1024E;Q4;7.4;7.5;8.6;9.2;12.2;14.8;16.9;17.3;16.1;13.5;10.1;7.7;11.0
1024E;Max;9.0;9.8;10.0;10.0;13.5;16.5;18.6;19.3;16.4;15.3;11.8;10.9;11.6
1024E;Mn;5.8;5.5;6.9;8.0;11.3;13.7;15.9;16.5;14.7;12.4;8.4;6.6;10.6
1024E;Md;5.9;5.9;7.2;8.1;11.1;13.8;16.0;16.5;14.8;12.4;8.7;6.6;10.6
1024E;S;1.69;1.74;1.37;1.17;1.29;1.05;1.01;0.99;1.06;1.50;1.65;1.75;0.56
1024E;Cv;0.29;0.30;0.19;0.14;0.12;0.08;0.06;0.06;0.07;0.12;0.19;0.27;0.05
0367;N;28;29;29;28;29;27;26;29;29;28;29;29;24
0367;Min;-2.1;-1.4;2.0;4.6;8.1;12.9;14.6;15.4;11.5;7.9;2.1;-1.7;7.9
0367;Q1;-0.1;0.9;3.0;5.2;9.2;13.6;16.0;16.1;13.1;9.3;3.4;0.3;8.1
0367;Q2;0.8;1.5;3.5;5.8;9.7;14.1;16.7;16.6;13.8;9.8;4.9;1.4;8.5
0367;Q3;1.2;2.0;4.3;6.1;10.5;14.3;17.1;17.5;14.5;10.7;5.3;2.4;8.7
0367;Q4;2.4;2.7;5.0;7.4;11.3;14.7;17.8;18.0;14.8;11.6;6.7;3.4;9.1
0367;Max;5.0;5.1;6.9;8.5;12.1;15.4;18.6;18.5;16.6;12.7;8.9;6.7;9.5
0367;Mn;1.1;1.7;4.0;6.0;10.0;14.3;17.0;17.1;13.9;10.3;5.1;1.7;8.6
0367;Md;1.1;1.8;4.1;6.2;10.1;14.2;16.9;17.0;14.1;10.4;5.2;1.9;8.6
0367;S;1.76;1.29;1.25;1.03;1.12;0.66;0.97;0.93;1.18;1.27;1.69;1.90;0.45
0367;Cv;1.53;0.73;0.31;0.17;0.11;0.05;0.06;0.05;0.08;0.12;0.33;0.98;0.05
5530E;N;30;29;30;30;30;30;30;30;29;30;30;30;28
5530E;Min;-4.8;-3.0;0.9;3.4;6.4;11.0;13.8;14.0;10.7;5.7;0.9;-2.3;6.7
5530E;Q1;-2.3;0.1;2.8;5.0;8.3;12.6;15.1;14.3;11.3;7.0;2.3;-0.2;7.1
5530E;Q2;-0.5;1.4;3.6;5.9;9.2;13.4;15.6;15.2;12.8;8.5;3.6;1.2;7.5
5530E;Q3;0.5;2.3;4.1;6.2;9.9;13.8;16.1;15.8;13.0;9.1;4.7;1.9;7.9
5530E;Q4;2.2;2.7;4.9;6.7;10.5;14.5;16.4;16.4;13.9;10.2;6.2;3.8;8.5
5530E;Max;5.7;4.6;6.9;8.6;12.0;16.3;17.0;17.5;15.2;11.8;8.6;6.1;9.1
5530E;Mn;0.3;1.7;3.8;6.1;9.4;13.6;16.0;15.6;12.8;9.0;4.1;1.7;7.9
5530E;Md;0.0;1.6;3.8;6.0;9.4;13.6;15.7;15.5;12.8;8.7;4.2;1.7;7.8
5530E;S;2.37;1.69;1.33;1.17;1.35;1.18;0.83;0.97;1.20;1.59;1.93;2.18;0.72
5530E;Cv;177.97;1.07;0.35;0.19;0.14;0.09;0.05;0.06;0.09;0.18;0.46;1.25;0.09
5514;N;29;29;29;30;30;29;30;30;30;30;29;28;26
5514;Min;-2.6;-1.5;2.4;4.6;7.8;11.6;15.6;15.8;12.0;7.8;2.9;-0.8;7.9
5514;Q1;-0.1;1.2;3.9;5.8;9.0;14.1;16.8;16.5;13.5;8.4;3.6;1.2;8.6
5514;Q2;0.6;2.3;4.6;6.4;9.9;14.6;17.6;17.6;14.2;10.1;4.7;2.0;8.8
5514;Q3;1.3;2.9;5.2;7.0;10.4;15.1;17.9;17.9;14.7;10.8;5.7;2.7;9.0
5514;Q4;2.7;3.5;5.6;7.5;11.3;15.6;18.6;18.4;15.4;11.3;7.1;4.3;9.5
5514;Max;5.2;5.7;6.8;9.2;12.7;16.8;19.6;19.4;16.4;12.0;9.2;6.4;9.9
5514;Mn;1.0;2.5;4.9;6.7;10.2;14.8;17.8;17.8;14.4;10.5;4.9;2.6;8.9
5514;Md;1.1;2.4;4.8;6.8;10.2;14.7;17.7;17.6;14.4;10.1;5.3;2.7;8.9
5514;S;1.79;1.51;0.96;1.12;1.28;1.09;0.96;0.97;1.13;1.35;1.67;1.74;0.51
5514;Cv;1.65;0.63;0.20;0.17;0.13;0.07;0.05;0.06;0.08;0.13;0.32;0.65;0.06
3013;N;29;30;29;29;30;29;29;30;30;29;29;29;28
3013;Min;-8.0;-7.8;-3.5;-1.1;2.1;6.3;9.1;8.2;4.3;1.5;-5.8;-11.0;2.1
3013;Q1;-6.7;-5.2;-2.6;0.5;4.1;8.0;9.6;9.6;5.9;2.3;-2.5;-4.6;2.4
3013;Q2;-3.6;-3.5;-2.0;1.0;4.9;8.0;10.4;10.4;6.6;3.5;-0.5;-3.1;2.8
3013;Q3;-2.7;-2.3;-1.1;1.5;5.4;8.5;10.7;10.9;7.8;4.3;0.1;-1.9;3.1
3013;Q4;-1.6;-1.4;0.1;2.2;5.8;9.6;11.3;11.5;8.9;5.4;2.2;-0.1;3.7
3013;Max;1.2;1.1;5.2;3.1;6.8;11.4;12.5;12.7;10.5;6.8;4.3;3.6;3.9
3013;Mn;-3.2;-3.2;-1.8;1.1;5.2;8.3;10.5;10.6;7.2;3.6;0.0;-2.1;3.1
3013;Md;-3.5;-3.2;-1.2;1.2;5.0;8.6;10.6;10.5;7.3;3.9;-0.2;-2.4;3.0
3013;S;2.57;2.00;1.84;1.06;1.10;1.05;1.01;1.07;1.58;1.55;2.41;2.81;0.59
3013;Cv;-0.74;-0.63;-1.49;0.88;0.22;0.12;0.09;0.10;0.22;0.40;-12.73;-1.16;0.19
4642E;N;26;26;25;25;25;26;27;27;27;27;26;27;22
4642E;Min;2.3;2.7;6.7;7.4;11.2;14.3;17.9;17.7;15.3;11.9;7.2;4.1;11.8
4642E;Q1;4.6;5.6;8.2;9.3;12.3;15.8;18.2;18.2;16.3;12.6;8.4;6.1;12.0
4642E;Q2;5.0;6.7;8.5;9.9;12.8;16.2;18.7;18.9;17.0;13.9;9.1;7.0;12.1
4642E;Q3;6.4;7.3;9.0;10.6;13.6;16.7;19.1;19.3;17.6;14.6;9.9;8.0;12.7
4642E;Q4;7.5;9.0;9.5;11.1;14.2;17.1;19.5;19.9;18.5;15.3;10.8;9.2;12.9
4642E;Max;9.7;9.9;11.0;12.7;14.8;18.7;20.2;21.3;19.2;16.2;13.3;11.9;13.5
4642E;Mn;5.7;7.1;8.8;10.3;13.2;16.4;19.1;19.1;17.3;14.3;9.4;7.3;12.4
4642E;Md;5.9;7.0;8.8;10.3;13.2;16.5;18.9;19.1;17.3;14.1;9.7;7.6;12.4
4642E;S;1.79;1.73;0.86;1.17;1.04;0.96;0.68;0.95;1.07;1.27;1.48;1.86;0.50
4642E;Cv;0.30;0.25;0.10;0.11;0.08;0.06;0.04;0.05;0.06;0.09;0.15;0.24;0.04
9898;N;29;29;29;28;26;28;28;27;28;28;29;29;22
9898;Min;-2.5;-1.5;1.8;3.0;6.2;10.2;13.9;14.9;11.1;7.6;2.3;-1.7;7.7
9898;Q1;0.2;0.9;3.4;5.1;8.4;12.9;15.4;15.6;12.4;8.9;3.9;0.4;7.9
9898;Q2;1.1;1.2;3.8;6.2;9.5;13.5;16.0;16.3;13.5;9.8;4.5;1.5;8.2
9898;Q3;1.8;2.0;4.8;6.5;10.2;13.9;16.8;17.0;13.9;10.2;5.7;2.2;8.7
9898;Q4;3.0;3.7;6.2;7.1;11.0;14.6;17.7;17.6;14.7;11.4;6.6;3.2;8.9
9898;Max;4.7;6.3;7.4;9.0;11.8;18.1;19.1;20.2;16.9;12.4;8.5;5.5;9.4
9898;Mn;1.4;1.7;4.1;6.4;9.9;13.8;16.7;16.6;13.8;10.0;5.1;1.9;8.5
9898;Md;1.4;2.2;4.5;6.2;9.7;13.8;16.5;16.7;13.6;10.1;5.2;1.9;8.5
9898;S;1.73;1.73;1.53;1.22;1.36;1.37;1.26;1.22;1.38;1.34;1.65;1.73;0.53
9898;Cv;1.21;0.80;0.34;0.20;0.14;0.10;0.08;0.07;0.10;0.13;0.32;0.92;0.06
5270B;N;21;22;22;24;23;19;23;25;25;23;24;23;15
5270B;Min;3.1;3.2;7.4;8.0;8.5;14.1;19.0;18.1;15.3;10.9;6.7;4.7;12.1
5270B;Q1;4.0;4.6;7.8;8.6;11.9;16.9;20.8;19.8;16.8;12.7;7.8;5.2;12.2
5270B;Q2;4.4;6.2;8.4;9.4;13.0;18.0;21.2;21.0;17.6;13.4;8.1;6.1;12.4
5270B;Q3;5.6;7.2;9.2;10.6;13.5;18.7;21.7;21.6;18.3;14.0;9.3;6.3;12.8
5270B;Q4;6.6;8.4;9.8;11.1;15.0;19.6;22.2;22.1;18.5;15.0;10.5;7.3;13.1
5270B;Max;7.2;9.1;11.4;12.3;15.9;20.4;23.2;23.3;20.1;15.7;11.2;8.9;13.2
5270B;Mn;5.1;6.7;8.7;10.3;13.2;18.3;21.5;21.2;18.1;13.6;8.6;6.2;12.6
5270B;Md;5.2;6.6;8.9;10.0;13.3;18.1;21.4;21.1;17.8;13.7;8.9;6.3;12.6
5270B;S;1.22;1.77;1.06;1.28;1.80;1.59;0.96;1.25;1.28;1.31;1.40;1.14;0.39
5270B;Cv;0.23;0.27;0.12;0.13;0.14;0.09;0.04;0.06;0.07;0.10;0.16;0.18;0.03
9170;N;30;30;30;30;30;30;30;30;30;30;30;30;30
9170;Min;-1.0;-0.5;2.8;3.8;6.8;10.9;13.5;13.9;10.9;6.7;2.8;-1.6;7.1
9170;Q1;0.2;1.2;3.6;5.1;8.9;12.5;14.6;14.9;11.7;8.0;4.1;1.1;7.9
9170;Q2;1.3;2.0;4.0;6.1;9.6;12.8;15.0;15.2;12.3;9.1;4.7;2.8;8.1
9170;Q3;2.8;3.0;4.8;6.6;10.3;13.3;15.7;15.9;13.3;9.6;5.4;3.4;8.5
9170;Q4;3.5;3.8;5.4;7.1;10.6;14.4;16.6;16.6;14.1;10.0;6.3;4.1;8.7
9170;Max;5.4;4.9;7.0;8.6;11.0;16.9;18.2;18.0;15.3;11.2;8.9;6.6;9.3
9170;Mn;2.0;2.5;4.6;6.3;10.1;13.2;15.2;15.5;12.9;9.3;5.1;3.2;8.4
9170;Md;2.0;2.4;4.6;6.3;9.7;13.3;15.6;15.6;12.9;9.2;5.3;2.8;8.3
9170;S;1.67;1.36;1.05;1.16;0.99;1.14;1.09;0.94;1.19;1.11;1.35;1.80;0.50
9170;Cv;0.84;0.56;0.23;0.18;0.10;0.09;0.07;0.06;0.09;0.12;0.26;0.63;0.06
C249I;N;29;29;29;28;29;30;30;29;29;30;29;30;26
C249I;Min;12.8;13.4;13.9;14.6;16.0;18.0;19.3;20.1;20.0;18.3;16.1;13.9;17.0
C249I;Q1;14.0;13.9;14.6;15.2;16.3;18.5;20.0;20.6;20.4;18.9;17.0;15.3;17.2
C249I;Q2;14.6;14.6;15.1;15.7;16.7;18.7;20.4;21.0;20.7;19.2;17.3;15.6;17.6
C249I;Q3;15.0;15.1;15.6;16.2;17.3;19.1;20.8;21.5;21.3;20.0;18.0;16.0;17.9
C249I;Q4;15.4;15.7;16.3;16.6;18.1;19.8;21.7;22.7;22.0;20.8;18.6;16.7;18.3
C249I;Max;16.6;16.9;17.3;17.8;19.2;20.8;22.8;24.4;23.5;21.5;19.3;17.4;19.2
C249I;Mn;14.7;14.8;15.3;16.0;17.1;19.0;20.6;21.2;20.8;19.5;17.5;15.8;17.8
C249I;Md;14.7;14.9;15.4;16.0;17.1;19.1;20.8;21.5;21.2;19.8;17.7;15.9;17.8
C249I;S;0.84;1.00;0.82;0.78;0.84;0.75;0.86;1.01;0.99;0.90;0.79;0.88;0.62
C249I;Cv;0.06;0.07;0.05;0.05;0.05;0.04;0.04;0.05;0.05;0.05;0.04;0.06;0.03
C649I;N;30;29;29;29;30;28;29;29;28;30;28;29;21
C649I;Min;13.8;13.4;14.4;14.5;15.8;17.5;19.5;20.4;20.2;18.3;16.3;15.1;17.1
C649I;Q1;14.2;13.9;14.9;15.3;16.5;18.6;20.3;20.9;20.6;19.2;17.3;15.5;17.5
C649I;Q2;14.4;14.8;15.3;15.9;16.8;19.2;20.6;21.4;21.2;19.8;17.9;15.9;18.0
C649I;Q3;15.3;15.3;15.7;16.2;17.5;19.4;20.8;21.8;21.7;20.4;18.5;16.2;18.3
C649I;Q4;15.8;16.0;16.4;17.4;18.0;19.7;21.3;22.2;22.0;20.9;19.0;17.0;18.8
C649I;Max;16.9;17.9;17.9;17.8;18.9;20.3;22.1;23.2;22.5;21.6;19.9;18.2;19.2
C649I;Mn;14.9;15.0;15.5;16.1;17.3;19.3;20.8;21.7;21.4;20.3;18.1;16.1;18.1
C649I;Md;15.0;15.1;15.6;16.2;17.3;19.2;20.8;21.7;21.4;20.1;18.1;16.2;18.1
C649I;S;0.83;1.09;0.84;0.91;0.82;0.61;0.58;0.77;0.70;0.88;0.94;0.85;0.62
C649I;Cv;0.06;0.07;0.05;0.06;0.05;0.03;0.03;0.04;0.03;0.04;0.05;0.05;0.03
C029O;N;29;30;30;30;30;29;29;29;29;30;30;30;26
C029O;Min;12.7;12.5;13.3;13.8;15.2;17.2;18.9;19.8;19.4;17.9;15.5;13.9;16.4
C029O;Q1;13.5;13.1;14.3;14.8;15.8;18.1;19.7;20.2;20.1;18.4;16.4;14.6;16.7
C029O;Q2;13.9;14.0;14.6;15.3;16.7;18.6;20.0;20.8;20.5;19.0;17.1;15.2;17.2
C029O;Q3;14.2;14.7;15.1;16.0;17.0;19.0;20.8;21.4;21.1;19.7;17.5;15.5;17.6
C029O;Q4;14.7;15.2;15.9;16.4;17.9;19.4;21.0;22.0;21.3;20.4;18.0;15.9;18.0
C029O;Max;15.6;16.7;17.1;18.4;18.3;20.0;22.7;23.1;22.2;20.8;19.0;17.6;18.3
C029O;Mn;13.9;14.2;14.9;15.7;16.8;18.7;20.5;21.1;21.0;19.5;17.4;15.4;17.4
C029O;Md;14.1;14.3;15.0;15.7;16.8;18.7;20.4;21.2;20.8;19.4;17.2;15.4;17.4
C029O;S;0.72;1.15;0.89;0.99;0.95;0.76;0.86;0.89;0.76;0.88;0.82;0.87;0.60
C029O;Cv;0.05;0.08;0.06;0.06;0.06;0.04;0.04;0.04;0.04;0.05;0.05;0.06;0.03
2661;N;30;30;30;30;30;30;30;30;30;30;30;30;30
2661;Min;-3.1;-3.2;-0.9;-0.3;3.2;8.0;10.5;10.5;7.5;4.7;0.2;-3.4;4.7
2661;Q1;-1.9;-1.2;0.9;2.1;5.3;9.3;11.1;11.1;8.6;5.4;1.3;-1.3;5.0
2661;Q2;-1.2;-0.7;1.5;2.9;6.4;10.0;12.0;11.9;9.5;6.4;2.1;-0.3;5.4
2661;Q3;-0.6;-0.2;2.2;3.8;6.9;10.4;12.6;12.5;10.3;7.1;3.4;1.2;5.7
